PublishDate,word,word_count,rank
2016-07-07,the,241,1
2016-07-06,the,461,1
2016-07-05,the,586,1
2016-07-04,the,382,1
2016-07-03,the,310,1
2016-07-02,the,281,1
2016-07-01,the,498,1
2016-06-30,the,610,1
2016-06-29,the,673,1
2016-06-28,the,715,1
2016-06-27,the,638,1
2016-06-26,the,326,1
2016-06-25,the,295,1
2016-06-24,the,906,1
2016-06-23,the,538,1
2016-06-22,the,550,1
2016-06-21,the,672,1
2016-06-20,the,640,1
2016-06-19,the,338,1
2016-06-18,the,272,1
2016-06-17,the,642,1
2016-06-16,the,655,1
2016-06-15,the,641,1
2016-06-14,the,663,1
2016-06-13,the,957,1
2016-06-12,the,409,1
2016-06-11,the,197,1
2016-06-10,the,456,1
2016-06-09,the,654,1
2016-06-08,the,562,1
2016-06-07,the,507,1
2016-06-06,the,723,1
2016-06-05,the,291,1
2016-06-04,the,321,1
2016-06-03,the,616,1
2016-06-02,the,526,1
2016-06-01,the,759,1
2016-05-31,the,792,1
2016-05-30,the,645,1
2016-05-29,the,324,1
2016-05-28,the,192,1
2016-05-27,the,583,1
2016-05-26,the,689,1
2016-05-25,the,704,1
2016-05-24,the,609,1
2016-05-23,the,601,1
2016-05-22,the,376,1
2016-05-21,the,288,1
2016-05-20,the,508,1
2016-05-19,the,363,1
2016-05-18,the,375,1
2016-05-17,the,656,1
2016-05-16,the,642,1
2016-05-15,the,336,1
2016-05-14,the,318,1
2016-05-13,the,738,1
2016-05-12,the,635,1
2016-05-11,the,492,1
2016-05-10,the,642,1
2016-05-09,the,593,1
2016-05-08,the,285,1
2016-05-07,the,291,1
2016-05-06,the,604,1
2016-05-05,the,553,1
2016-05-04,the,571,1
2016-05-03,the,516,1
2016-05-02,the,528,1
2016-05-01,the,448,1
2016-04-30,the,322,1
2016-04-29,the,565,1
2016-04-28,the,771,1
2016-04-27,the,610,1
2016-04-26,the,494,1
2016-04-25,the,454,1
2016-04-24,the,284,1
2016-04-23,the,365,1
2016-04-22,the,760,1
2016-04-21,the,675,1
2016-04-20,the,562,1
2016-04-19,the,571,1
2016-04-18,the,579,1
2016-04-17,the,360,1
2016-04-16,the,284,1
2016-04-15,the,559,1
2016-04-14,the,1032,1
2016-04-13,the,685,1
2016-04-12,the,695,1
2016-04-11,the,731,1
2016-04-10,the,284,1
2016-04-09,the,253,1
2016-04-08,the,542,1
2016-04-07,the,612,1
2016-04-06,the,600,1
2016-04-05,the,648,1
2016-04-04,the,617,1
2016-04-03,the,203,1
2016-04-02,the,250,1
2016-04-01,the,748,1
2016-03-31,the,800,1
2016-03-30,the,773,1
2016-03-29,the,623,1
2016-03-28,the,578,1
2016-03-27,the,234,1
2016-03-26,the,269,1
2016-03-25,the,534,1
2016-03-24,the,520,1
2016-03-23,the,502,1
2016-03-22,the,760,1
2016-03-21,the,725,1
2016-03-20,the,460,1
2016-03-19,the,209,1
2016-03-18,the,444,1
2016-03-17,the,482,1
2016-03-16,the,952,1
2016-03-15,the,834,1
2016-03-14,the,692,1
2016-03-13,the,299,1
2016-03-12,the,299,1
2016-03-11,the,743,1
2016-03-10,the,932,1
2016-03-09,the,616,1
2016-03-08,the,620,1
2016-03-07,the,745,1
2016-03-06,the,243,1
2016-03-05,the,256,1
2016-03-04,the,514,1
2016-03-03,the,540,1
2016-03-02,the,474,1
2016-03-01,the,843,1
2016-02-29,the,455,1
2016-02-28,the,320,1
2016-02-27,the,233,1
2016-02-26,the,569,1
2016-02-25,the,608,1
2016-02-24,the,661,1
2016-02-23,the,695,1
2016-02-22,the,664,1
2016-02-21,the,272,1
2016-02-20,the,243,1
2016-02-19,the,461,1
2016-02-18,the,751,1
2016-02-17,the,724,1
2016-02-16,the,622,1
2016-02-15,the,629,1
2016-02-14,the,452,1
2016-02-13,the,244,1
2016-02-12,the,596,1
2016-02-11,the,696,1
2016-02-10,the,613,1
2016-02-09,the,729,1
2016-02-08,the,741,1
2016-02-07,the,272,1
2016-02-06,the,227,1
2016-02-05,the,624,1
2016-02-04,the,649,1
2016-02-03,the,693,1
2016-02-02,the,734,1
2016-02-01,the,779,1
2016-01-31,the,309,1
2016-01-30,the,340,1
2016-01-29,the,720,1
2016-01-28,the,865,1
2016-01-27,the,725,1
2016-01-26,the,655,1
2016-01-25,the,735,1
2016-01-24,the,419,1
2016-01-23,the,280,1
2016-01-22,the,466,1
2016-01-21,the,691,1
2016-01-20,the,707,1
2016-01-19,the,814,1
2016-01-18,the,606,1
2016-01-17,the,492,1
2016-01-16,the,359,1
2016-01-15,the,623,1
2016-01-14,the,639,1
2016-01-13,the,929,1
2016-01-12,the,1048,1
2016-01-11,the,788,1
2016-01-10,the,443,1
2016-01-09,the,294,1
2016-01-08,the,699,1
2016-01-07,the,612,1
2016-01-06,the,669,1
2016-01-05,the,780,1
2016-01-04,the,761,1
2016-01-03,the,392,1
2016-01-02,the,302,1
2016-01-01,the,303,1
2015-12-31,the,471,1
2015-12-30,the,618,1
2015-12-29,the,469,1
2015-12-28,the,505,1
2015-12-27,the,291,1
2015-12-26,the,280,1
2015-12-25,the,227,1
2015-12-24,the,336,1
2015-12-23,the,588,1
2015-12-22,the,742,1
2015-12-21,the,635,1
2015-12-20,the,380,1
2015-12-19,the,282,1
2015-12-18,the,745,1
2015-12-17,the,678,1
2015-12-16,the,621,1
2015-12-15,the,688,1
2015-12-14,the,755,1
2015-12-13,the,371,1
2015-12-12,the,265,1
2015-12-11,the,527,1
2015-12-10,the,655,1
2015-12-09,the,644,1
2015-12-08,the,516,1
2015-12-07,the,767,1
2015-12-06,the,502,1
2015-12-05,the,413,1
2015-12-04,the,551,1
2015-12-03,the,597,1
2015-12-02,the,682,1
2015-12-01,the,999,1
2015-11-30,the,827,1
2015-11-29,the,346,1
2015-11-28,the,311,1
2015-11-27,the,428,1
2015-11-26,the,464,1
2015-11-25,the,758,1
2015-11-24,the,923,1
2015-11-23,the,710,1
2015-11-22,the,458,1
2015-11-21,the,309,1
2015-11-20,the,688,1
2015-11-19,the,651,1
2015-11-18,the,545,1
2015-11-17,the,458,1
2015-11-16,the,678,1
2015-11-15,the,304,1
2015-11-14,the,148,1
2015-11-13,the,482,1
2015-11-12,the,479,1
2015-11-11,the,490,1
2015-11-10,the,488,1
2015-11-09,the,311,1
2015-11-08,the,99,1
2015-11-07,the,58,1
2015-11-06,the,96,1
2015-11-05,the,80,1
2015-11-04,the,78,1
2015-11-03,the,53,1
2015-11-02,the,41,1
2015-11-01,the,31,1
2015-10-31,the,20,1
2015-10-30,the,32,1
2015-10-29,the,77,1
2015-10-28,the,51,1
2015-10-27,the,45,1
2015-10-26,the,29,1
2015-10-25,the,17,1
2015-10-24,the,15,1
2015-10-23,the,26,1
2015-10-22,the,51,1
2015-10-21,to,28,1
2015-10-20,the,16,1
2015-10-19,the,9,1
2015-10-18,a,3,1
2015-10-17,and,3,1
2015-10-17,the,3,1
2015-10-17,of,3,1
2015-10-16,the,8,1
2015-10-15,the,7,1
2015-10-14,is,2,1
2015-10-14,Microsoft,2,1
2015-10-14,to,2,1
2015-10-14,a,2,1
2015-10-14,for,2,1
2015-10-13,the,5,1
2015-10-12,in,3,1
2015-10-09,Microsoft,2,1
2015-09-29,the,3,1
2015-09-10,Israel,1,1
2015-09-10,flag,1,1
2015-09-10,fly,1,1
2015-09-10,headquarters,1,1
2015-09-10,approved,1,1
2015-09-10,a,1,1
2015-09-10,Palestinian,1,1
2015-09-10,resolution,1,1
2015-09-10,infuriating,1,1
2015-09-10,with,1,1
2015-09-10,will,1,1
2015-09-10,at,1,1
2015-09-10,UN,1,1
2015-09-10,after,1,1
2015-09-10,the,1,1
2015-09-10,general,1,1
2015-09-10,Palestines,1,1
2015-09-10,assembly,1,1
2015-09-10,overwhelmingly,1,1
2015-09-09,from,2,1
2015-09-09,the,2,1
2015-08-27,Windows,1,1
2015-08-27,to,1,1
2015-08-27,a,1,1
2015-08-27,the,1,1
2015-08-27,lack,1,1
2015-08-27,extensions,1,1
2015-08-27,Achilles,1,1
2015-08-27,heel,1,1
2015-08-27,that,1,1
2015-08-27,may,1,1
2015-08-27,prove,1,1
2015-08-27,hit,1,1
2015-08-27,but,1,1
2015-08-27,support,1,1
2015-08-27,Microsofts,1,1
2015-08-27,OS,1,1
2015-08-27,for,1,1
2015-08-27,browser,1,1
2015-08-27,in,1,1
2015-08-27,eventually,1,1
2015-08-27,Edge,1,1
2015-08-27,new,1,1
2015-08-27,be,1,1
2015-08-27,of,1,1
2015-08-27,is,1,1
2015-08-27,an,1,1
2015-07-22,new,1,1
2015-07-22,Universal,1,1
2015-07-22,Foldable,1,1
2015-07-22,ideal,1,1
2015-07-22,scenario,1,1
2015-07-22,Microsofts,1,1
2015-07-22,be,1,1
2015-07-22,for,1,1
2015-07-22,might,1,1
2015-07-22,shortbusinesstripweekendgetaway,1,1
2015-07-22,Enter,1,1
2015-07-22,Keyboard,1,1
2015-07-22,which,1,1
2015-07-22,just,1,1
2015-07-22,the,1,1
2015-06-11,to,2,1
2015-06-11,the,2,1
2015-06-11,be,2,1
2015-06-11,a,2,1
2015-03-01,the,260,1
2012-01-28,Roubini,2,1
2012-01-28,the,2,1
2008-09-20,the,3,1
2002-04-02,the,2,1
2002-04-02,Obama,2,1
