word,count
to,25394
Obama,22521
economy,17862
Microsoft,17579
in,14362
the,13029
for,11309
of,10600
on,9614
Economy,8288
and,7101
a,6077
Obamas,5203
The,4678
US,4494
is,4341
with,4047
Palestine,3825
as,3674
at,3183
Microsofts,2944
Windows,2736
President,2701
says,2619
Is,2221
new,2063
To,2048
by,1932
will,1905
economic,1777
Trump,1703
New,1672
from,1618
Palestinian,1601
China,1548
be,1537
A,1521
How,1516
growth,1472
its,1451
In,1422
up,1390
With,1372
over,1336
about,1317
not,1309
Barack,1271
UK,1270
global,1251
Surface,1249
Xbox,1242
Why,1241
Brexit,1228
but,1199
Chinas,1180
For,1167
Economic,1147
more,1142
Clinton,1125
Israel,1111
Will,1062
after,1054
What,1027
On,982
has,974
are,970
State,961
House,941
One,907
could,904
Says,899
Global,893
White,873
visit,862
an,859
Court,854
Of,818
out,813
it,804
that,795
Supreme,795
boost,793
Office,792
than,790
into,779
year,755
Its,751
About,732
EU,719
first,713
Google,708
Apple,697
can,695
This,680
India,680
More,673
GOP,673
And,661
Bank,656
Israeli,650
world,642
World,636
may,636
Michelle,635
Pro,629
plan,621
ISIS,621
support,619
data,615
Chinese,615
Not,614
help,613
Q,606
From,600
you,599
Are,592
his,589
now,581
against,576
Lumia,575
Hillary,572
After,571
Sanders,558
back,555
Azure,553
quarter,546
your,545
calls,543
down,541
Donald,540
Fed,533
have,528
Be,526
As,523
No,522
app,519
this,513
deal,511
cloud,509
jobs,506
still,504
Cuba,502
Can,497
oil,497
HoloLens,495
Has,491
Over,491
Cloud,485
First,479
off,478
just,477
grow,475
Up,472
Growth,465
Report,465
next,463
rate,461
gun,459
Business,457
business,456
Could,456
South,454
warns,451
You,449
CEO,449
Iran,448
Japan,447
Saudi,447
MSFT,445
market,443
make,435
Syria,435
Russian,430
would,427
administration,425
We,423
shows,423
Congress,422
or,419
how,416
GDP,414
climate,414
percent,414
leaders,414
It,413
minister,413
no,412
big,412
years,407
report,406
trade,397
Heres,396
growing,395
Paris,390
wants,390
security,388
Americans,383
Edge,382
plans,381
state,381
should,380
His,380
Android,380
Oil,380
Indian,379
gets,379
May,376
Administration,376
fight,376
German,375
get,375
good,373
all,372
Data,372
UN,371
he,370
That,369
tax,369
signs,369
Islamic,368
Russia,367
grows,366
Bill,366
one,366
Band,363
last,361
Watch,358
policy,358
PM,352
Trumps,351
amid,351
IMF,350
Union,349
top,346
Gun,346
meet,344
talks,344
show,343
billion,339
Facebook,338
Republicans,338
despite,338
time,337
I,337
free,337
wont,337
take,336
Plan,336
president,334
government,334
Mobile,333
Day,333
was,331
urges,330
better,328
Visit,328
vs,326
launches,326
update,326
change,326
campaign,325
Security,324
set,324
Minister,323
Out,323
hit,323
Corporation,322
takes,320
adds,318
expected,318
crisis,318
Now,318
if,311
Top,311
must,311
Hiroshima,311
American,309
Latest,308
LinkedIn,308
our,308
East,307
focus,306
like,306
tech,305
PC,305
At,304
G,303
Just,301
future,301
America,301
News,298
Senate,298
Than,296
Amazon,296
War,295
Texas,294
Big,292
million,292
Canada,291
Trudeau,291
Climate,290
chief,289
budget,288
Update,287
Book,286
users,285
Japans,285
Orlando,284
pct,283
IsraelPalestine,283
Week,283
Market,282
Year,282
th,281
Have,281
announces,281
makes,280
Putin,280
Deal,279
what,278
North,277
push,277
Calls,276
Cortana,275
needs,274
Outlook,274
attacks,273
ahead,273
amp,272
Skype,271
speech,271
Against,270
sales,270
most,268
weak,268
say,268
grew,267
iOS,265
sees,265
Palestinians,264
work,264
strong,264
Cruz,262
Bernie,262
Dont,260
open,260
He,259
Republican,258
Asia,257
Canadian,257
Internet,257
recession,256
Your,255
Canadas,255
control,255
An,254
key,254
prices,254
Sharing,254
people,253
Tech,253
Indias,252
French,251
who,251
during,251
Wall,251
Feds,249
Support,248
Who,247
why,247
address,246
sharing,246
West,246
under,245
By,244
faces,244
Stocks,243
risks,243
need,243
do,242
vote,242
Should,241
Nadella,241
Syrian,241
power,240
we,240
best,239
rise,238
trip,237
Jobs,237
tells,236
some,235
impact,235
seeks,234
again,234
Black,234
bill,233
pay,232
hits,232
But,232
Power,232
Help,232
job,231
end,231
debate,231
law,230
upgrade,230
Down,230
latest,230
looks,230
Policy,228
Street,228
Phone,228
peace,227
apps,227
Vietnam,226
high,226
App,226
terror,225
Time,225
All,223
spending,223
video,222
bad,221
Stock,221
fears,220
digital,220
Arabia,220
Would,220
Most,219
Make,219
rates,219
shooting,219
call,218
summit,218
Our,218
slows,218
news,218
Former,218
cuts,217
week,217
British,217
National,217
releases,217
third,216
meeting,216
their,215
likely,215
review,215
Still,214
final,214
Zika,214
Satya,213
refugees,213
Europe,212
Next,212
price,212
right,212
way,212
France,211
start,211
Was,211
local,211
immigration,210
political,209
San,209
Modi,209
rights,209
Build,209
offers,209
AI,208
Brazils,208
Nigeria,207
attack,206
keep,206
Store,205
release,205
outlook,205
Meet,204
seen,204
Budget,204
stop,203
legacy,203
official,202
Government,202
election,201
action,200
give,200
team,200
build,199
If,199
issues,197
Americas,197
threat,197
fuel,197
war,197
Quarter,197
real,195
coming,195
low,195
too,195
Wants,194
Democrats,194
March,194
Project,193
brings,193
services,193
Get,193
since,192
rules,192
Yellen,192
so,192
Live,192
Into,192
Palestines,191
Free,191
bank,191
another,191
use,191
Announces,190
Do,190
European,190
goes,189
Good,189
strategy,189
iPhone,189
bn,189
Server,188
Rate,188
cut,188
Africa,188
Tax,188
two,188
major,188
recovery,187
Speech,186
Better,186
E,186
own,185
Boost,185
national,184
Back,184
look,184
go,183
working,182
Take,182
Two,181
health,181
Trade,181
industry,180
when,180
Greek,180
s,180
leader,180
slow,179
Russias,179
Peace,179
Dynamics,178
game,178
Korea,178
Gig,178
