shingle,count
the,170444
ing,73119
ion,66835
and,65275
ter,57834
ent,55376
aid,54631
sai,53846
tio,45742
for,39311
res,36453
ati,36118
com,35223
est,35105
ate,33880
int,32897
ers,32143
ill,31792
"
th",30983
pro,30196
sin,29411
ere,29168
men,29161
"
re",28987
nth,28733
are,28416
eco,28374
sto,28345
tha,27705
tin,27350
con,27249
"er
",26875
ear,26841
dth,26291
ons,26230
ort,26215
ted,25958
mln,25587
din,24630
ont,23898
ute,23627
its,23537
dlr,23448
ver,22648
tra,22303
era,22231
her,22010
inc,21718
reu,21048
edt,20777
rea,20736
eut,20728
lrs,20713
esa,20408
sta,20206
hes,20187
dit,19761
000,19688
omp,19383
sof,19128
rat,18904
pan,18889
ect,18822
rth,18801
ith,18731
iti,18502
str,18387
ina,18251
sha,17793
oft,17780
ore,17779
san,17720
der,17532
nce,17449
ove,17418
hat,17166
pct,17094
ine,17074
fth,16935
pri,16888
hec,16856
nde,16845
all,16822
ess,16814
red,16810
lli,16685
per,16598
"id
",16521
nte,16387
ona,16311
cha,16271
har,16188
rom,16178
eth,16153
mar,16147
tor,16092
ran,15986
edi,15981
ive,15979
man,15975
ste,15904
wit,15734
tth,15694
nin,15693
ein,15684
wil,15626
ert,15607
anc,15485
fro,15483
ast,15287
ban,15188
cti,15165
eri,15138
idi,15109
yea,15090
por,15018
ies,14869
off,14847
ain,14781
lin,14657
ank,14639
eof,14636
ndl,14620
ric,14616
art,14516
bil,14473
cts,14472
mpa,14469
tof,14459
eas,14353
198,14271
ana,14159
nal,14133
ese,14066
oul,13961
pre,13916
als,13887
dto,13865
ist,13856
uld,13807
"he
",13799
sth,13780
not,13724
has,13660
oth,13573
ngt,13533
han,13533
ial,13473
any,13436
nto,13414
eve,13400
nti,13376
eda,13347
was,13292
end,13284
ice,13257
cor,13191
oun,13167
eme,13122
ces,13115
one,13080
nes,12974
out,12935
rin,12932
ern,12902
rec,12866
esi,12762
tsa,12746
ndi,12744
nts,12657
ono,12630
lan,12629
ond,12598
ntr,12403
nan,12399
eto,12373
hea,12321
nst,12310
tan,12304
mon,12294
ase,12207
ide,12186
omm,12178
min,12135
eso,12118
ica,12087
idt,12037
thi,12019
sti,11845
exp,11830
ren,11774
tal,11757
ure,11688
und,11631
ade,11606
ree,11563
par,11561
ene,11504
sed,11494
ssa,11437
ans,11411
nat,11407
ope,11402
ust,11382
ant,11347
"
in",11308
cou,11286
tur,11034
tot,11023
ede,10947
ral,10907
ins,10867
lio,10863
ary,10845
ark,10812
toc,10725
"ed
",10714
ini,10690
rsa,10632
ale,10588
att,10584
cia,10581
ose,10572
epr,10566
ton,10522
"
co",10517
ean,10469
tat,10431
sco,10419
ind,10366
nge,10360
age,10359
tes,10345
mer,10344
old,10298
ome,10290
fic,10250
"es
",10210
act,10209
whi,10206
rad,10203
duc,10199
our,10198
sal,10103
ema,10039
hep,9968
wer,9958
his,9924
son,9920
"ts
",9902
hed,9863
rit,9862
ble,9832
rep,9797
rst,9782
iss,9714
"on
",9680
cre,9609
rre,9589
rke,9554
new,9527
los,9526
ave,9477
ang,9430
les,9354
ofi,9353
wou,9350
can,9347
een,9337
hen,9317
nsa,9275
ber,9246
lat,9244
nit,9237
ich,9131
ket,9126
net,9123
fer,9120
orp,9119
gre,9119
ffe,9117
tri,9101
ass,9074
fin,9041
tto,9021
igh,9018
uar,9018
ded,8973
ves,8958
ssi,8940
rof,8916
nga,8905
sec,8888
ned,8855
cur,8822
nta,8813
"rs
",8807
day,8803
ngs,8791
hef,8757
enc,8748
hem,8705
cto,8690
den,8641
pos,8592
ici,8583
rou,8548
but,8540
ity,8532
lnd,8529
hic,8509
nds,8490
pec,8469
ord,8454
las,8449
ret,8420
cal,8399
sio,8388
efi,8387
efo,8358
nda,8341
eta,8275
ght,8249
hei,8231
ise,8223
unt,8179
ead,8152
ora,8133
ame,8132
spe,8123
rte,8123
rev,8108
ndt,8102
tiv,8098
nof,8096
uni,8071
pla,8051
ors,8019
oss,8005
"d
t",7986
uct,7981
use,7973
rma,7935
sfo,7927
erm,7923
edb,7871
rop,7856
dis,7854
tst,7843
sse,7843
ven,7825
ffi,7796
nis,7790
set,7779
ane,7779
isi,7758
ani,7742
ecu,7712
fit,7702
"nd
",7652
ost,7633
two,7623
"ng
",7621
hel,7614
ita,7602
rod,7591
ock,7536
eti,7525
tem,7476
ote,7473
ell,7460
asa,7451
swi,7450
tre,7439
nco,7404
ard,7391
edo,7370
ali,7356
odu,7354
hin,7342
sid,7313
eal,7310
lar,7301
ssu,7287
yth,7280
rch,7269
low,7260
oni,7243
heb,7232
lea,7212
ake,7212
het,7197
hav,7158
agr,7136
sit,7126
ten,7119
abl,7102
ner,7083
gth,7070
"s
t",7066
rso,7049
ele,7012
tic,6966
qui,6963
ser,6958
gin,6952
fir,6932
epa,6931
lla,6927
epo,6915
abo,6898
"to
",6897
ysa,6893
ite,6893
ger,6887
dat,6885
gro,6882
ili,6875
tar,6833
chi,6806
oin,6801
yst,6793
"of
",6778
bou,6749
ndo,6740
hey,6735
dec,6730
lso,6714
wor,6692
tob,6684
rge,6672
don,6654
ses,6636
ris,6635
uri,6603
ong,6600
"
pr",6595
rsi,6589
sur,6582
yin,6574
owe,6567
rei,6532
erc,6532
heu,6529
eca,6529
spr,6524
mor,6512
ece,6501
lit,6495
dan,6492
led,6484
sen,6479
erv,6438
nne,6428
nve,6414
dby,6399
eat,6393
sma,6368
toa,6347
ire,6316
rie,6278
hou,6275
ofa,6267
thr,6263
wee,6256
ign,6254
oll,6250
eds,6237
sho,6231
apa,6213
kin,6200
hee,6178
elo,6172
cen,6169
ala,6157
tte,6149
des,6105
ous,6089
ars,6076
nsi,6074
tie,6071
ero,6069
tho,6020
own,6015
tro,6013
tit,6000
had,5980
rov,5979
isc,5967
"
an",5966
rto,5953
orm,5932
omi,5932
ndu,5927
ref,5922
ngi,5906
tis,5901
986,5900
sts,5896
dre,5885
ota,5883
spo,5864
exc,5859
pen,5855
nci,5854
ngo,5845
llb,5843
swe,5834
"ln
",5822
esu,5801
gan,5791
deb,5766
"in
",5764
eed,5763
apr,5751
sou,5750
ann,5734
inv,5733
vel,5730
sre,5713
gen,5700
mbe,5690
tim,5671
sea,5655
ari,5650
eli,5648
lle,5611
gra,5598
tos,5581
ash,5579
ori,5568
dbe,5547
sar,5545
adi,5532
hol,5527
lbe,5525
che,5519
uti,5513
ela,5511
ced,5497
cte,5494
0ml,5482
xpe,5470
dco,5463
arg,5462
bee,5442
emi,5426
tso,5420
tme,5418
rti,5415
nom,5400
llo,5394
app,5388
ara,5384
tco,5378
urc,5363
shr,5361
nme,5357
lic,5356
ile,5351
tai,5350
shi,5328
ugh,5324
esw,5311
rts,5310
eba,5300
mat,5282
imp,5274
lly,5273
air,5273
equ,5268
ult,5252
esp,5250
asi,5249
onf,5248
nys,5246
hth,5218
"
it",5217
obe,5211
"s
r",5206
iat,5201
arl,5197
alt,5182
"
to",5181
arc,5177
oug,5163
tod,5150
dea,5148
mit,5141
eno,5135
row,5128
ata,5124
ker,5119
"al
",5091
onc,5082
emo,5082
"
sa",5074
rsh,5070
ian,5067
eus,5065
dde,5064
edu,5060
gto,5050
urr,5050
ens,5038
"
ne",5026
eac,5022
rce,4996
let,4977
emb,4973
svs,4968
eem,4956
twi,4946
